topic,title,content,url
Giáo dục,Hai nam sinh đặt máy quay lén nhà vệ sinh nữ,"Hai nam sinh lớp 12 trường THPT Giồng Ông Tố, quận 2 đặt máy quay trong nhà vệ sinh nữ trong giờ ra chơi, bị phát hiện.",https://vnexpress.net/hai-nam-sinh-dat-may-quay-len-nha-ve-sinh-nu-4201137.html
Giáo dục,"Hơn 170.000 học sinh, sinh viên nghỉ học chống Covid-19","Hơn 8.200 học sinh từ mầm non đến THPT, 160.000 sinh viên, hơn 6.000 giảng viên và thầy cô... phải nghỉ để phòng chống Covid-19.",https://vnexpress.net/hon-170-000-hoc-sinh-sinh-vien-nghi-hoc-chong-covid-19-4201086.html
Giáo dục,Bé gái 4 tuổi nhập viện sau khi chơi cầu trượt,"Bé gái 4 tuổi đang điều trị tại Bệnh viên Nhi Trung ương do mắc dây áo vào ốc vít cầu trượt ở Trường Mầm non Đông La, huyện Hoài Đức.",https://vnexpress.net/be-gai-4-tuoi-nhap-vien-sau-khi-choi-cau-truot-4201065.html
Pháp luật,Trưởng ban quản lý chợ Kim Biên bị đâm chết,"Mâu thuẫn trong công việc, nữ Trưởng ban quản lý chợ Kim Biên bị cấp dưới đâm tử vong tại phòng làm việc.",https://vnexpress.net/truong-ban-quan-ly-cho-kim-bien-bi-dam-chet-4201489.html
Pháp luật,Hiếp dâm tại quán karaoke,"Ngô Văn Quỳnh, 30 tuổi, bị cáo buộc có hành vi hiếp dâm nữ nhân viên ở quán karaoke lúc 3h sáng.",https://vnexpress.net/hiep-dam-tai-quan-karaoke-4201469.html
Pháp luật,Hơn 6.000 người được triệu tập khi xét xử vụ án Liên Kết Việt,"Trong hơn 66.000 bị hại của Liên Kết Việt ở 49 tỉnh thành, khoảng 6.000 người được triệu tập đến phiên xét xử diễn ra từ ngày 21/12.",https://vnexpress.net/hon-6-000-nguoi-duoc-trieu-tap-khi-xet-xu-vu-an-lien-ket-viet-4201450.html
Pháp luật,Nam sinh lớp 9 bị khởi tố do đấm chết bạn,"Nghiêm Tất Tiến Đạt, 14 tuổi, bị cáo buộc đấm bạn trong giờ ra chơi khiến nạn nhân tử vong.",https://vnexpress.net/nam-sinh-lop-9-bi-khoi-to-do-dam-chet-ban-4201427.html
Pháp luật,Đình chỉ điều tra vụ án ông Lương Hữu Phước,"Lấy lý do ông Lương Hữu Phước - người ""thực hiện hành vi nguy hiểm cho xã hội đã chết"", Công an TP Đồng Xoài đình chỉ điều tra vụ án, đình chỉ bị can.",https://vnexpress.net/dinh-chi-dieu-tra-vu-an-ong-luong-huu-phuoc-4201177.html
Pháp luật,Siêu lừa bán 'miền đất hứa' cho giới nhà giàu,"Năm 1821, Gregor MacGregor cho giới nhà giàu châu Âu “ăn bánh vẽ” về miền đất hứa trù phú ở tân thế giới.",https://vnexpress.net/sieu-lua-ban-mien-dat-hua-cho-gioi-nha-giau-4200545.html
Đời sống,Đi bộ 450 km sau khi cãi nhau với vợ,"Trên con phố ở Fano, thị trấn nằm trên bờ biển Adriatic, cảnh sát phát hiện một người đàn ông thất thểu bước đi lúc hai giờ sáng.",https://vnexpress.net/di-bo-450-km-sau-khi-cai-nhau-voi-vo-4201187.html
Đời sống,Vận mệnh người tuổi Sửu năm Tân Sửu 2021,"Dự báo Tân Sửu là năm may mắn, cũng là năm hoàn hảo để người tuổi Sửu tập trung vào các mối quan hệ, bất kể là nói về các mối quan hệ xã hội, hay tình cảm cá nhân.",https://vnexpress.net/van-menh-nguoi-tuoi-suu-nam-tan-suu-2021-4201145.html
Đời sống,Tối ưu không gian chung cư bằng điều hòa multi,"Thiết kế một dàn nóng, nhiều dàn lạnh của điều hòa multi giúp tiết kiệm không gian lắp đặt dàn nóng, thích hợp cho căn hộ chung cư.",https://vnexpress.net/toi-uu-khong-gian-chung-cu-bang-dieu-hoa-multi-4186931.html
Đời sống,5 bữa xế nóng hổi giữa ngày Hà Nội trở lạnh,"Gà tần thuốc bắc, dồi sụn nướng, cháo sườn, chè sắn... là những món xế mà tín đồ ẩm thực nhất định phải thử ngày đông.",https://vnexpress.net/5-bua-xe-nong-hoi-giua-ngay-ha-noi-tro-lanh-4200709.html
Đời sống,Chuyện dùng điện của những hộ nghèo ven đô,"Sau hơn 10 năm sáp nhập vào Hà Nội, nhiều gia đình nghèo ở Thanh Oai vẫn chật vật với hóa đơn tiền điện mỗi tháng, chưa nói đến nâng cấp đường dây.",https://vnexpress.net/chuyen-dung-dien-cua-nhung-ho-ngheo-ven-do-4188234.html
Đời sống,5 bí quyết giữ nồi chiên không dầu luôn sạch,Nồi chiên không dầu là sản phẩm được người nội trợ tin dùng. Nhưng làm vệ sinh nồi thế nào cho đúng cách thì không phải ai cũng biết.,https://vnexpress.net/5-bi-quyet-giu-noi-chien-khong-dau-luon-sach-4201133.html
Thế giới,"B-52 Mỹ hỏng động cơ, đáp khẩn tại Anh","Một oanh tạc cơ B-52 Mỹ gặp sự cố động cơ khi làm nhiệm vụ tại châu Âu, phải hủy nhiệm vụ và hạ cánh khẩn xuống sân bay ở Anh.",https://vnexpress.net/b-52-my-hong-dong-co-dap-khan-tai-anh-4201794.html
Thế giới,Trump 'chạy nước rút' giáng đòn lên Trung Quốc,"Dù thất cử, Trump vẫn tiến hành chống Trung Quốc quyết liệt, khiến chính quyền Biden tương lai có thể bị hạn chế trong cách ứng phó với Bắc Kinh.",https://vnexpress.net/trump-chay-nuoc-rut-giang-don-len-trung-quoc-4201524.html
Thế giới,Biden muốn giảm quy mô lễ nhậm chức,Joe Biden nói rằng quy mô lễ nhậm chức vào tháng 1/2021 có thể nhỏ hơn những sự kiện trước đây để đảm bảo an toàn trong bối cảnh đại dịch.,https://vnexpress.net/biden-muon-giam-quy-mo-le-nham-chuc-4201769.html
Thế giới,Trump rút gần hết lính Mỹ tại Somalia,"Trump yêu cầu đưa hầu hết binh sĩ và nhân viên an ninh Mỹ ra khỏi Somalia, song Lầu Năm Góc khẳng định không rút quân khỏi châu Phi.",https://vnexpress.net/trump-rut-gan-het-linh-my-tai-somalia-4201768.html
Thế giới,"Hơn 66 triệu ca Covid-19 toàn cầu, WHO khuyên các nước không chủ quan","WHO cảnh báo các chính phủ và người dân không nên mất cảnh giác vì các thông tin tích cực về vaccine, nói rằng hệ thống y tế vẫn chịu nhiều áp lực khi ca nhiễm toàn cầu đã vượt 66 triệu.",https://vnexpress.net/hon-66-trieu-ca-covid-19-toan-cau-who-khuyen-cac-nuoc-khong-chu-quan-4201766.html
Thế giới,Ivanka - người 'kế vị' đầy hứa hẹn của Trump,"Sự nhạy bén của Ivanka Trump trong mọi lĩnh vực, từ kinh doanh đến chính trị, khiến nhiều người tò mò liệu cô có nối nghiệp cha.",https://vnexpress.net/ivanka-nguoi-ke-vi-day-hua-hen-cua-trump-4201233.html
Du lịch,Tam giác mạch rộ nở khắp miền cao nguyên đá,"Những ngày đầu đông này, Quản Bạ, Yên Minh, Đồng Văn, Mèo Vạc đang tưng bừng trong lễ hội và sắc hồng tím của loài hoa tam giác mạch.",https://vnexpress.net/tam-giac-mach-ro-no-khap-mien-cao-nguyen-da-4200217.html
Du lịch,Phố đi bộ đêm vẫn đông khi thêm ca nhiễm Covid-19,Khu ẩm thực tại phố đi bộ quận 10 thu hút đông đảo người dân dù có thông tin Covid-19 bùng phát trở lại trong cộng đồng.,https://vnexpress.net/pho-di-bo-dem-van-dong-khi-them-ca-nhiem-covid-19-4200925.html
Du lịch,Cậu bé đang trượt tuyết thì lăn ra ngủ,Một ông bố phải lôi con trai 3 tuổi buồn ngủ từ đỉnh dốc trượt tuyết tại Hà Bắc.,https://vnexpress.net/cau-be-dang-truot-tuyet-thi-lan-ra-ngu-4201327.html
